Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
loss,48.0,22.4,121.8,40.8,140.66,2.495824,65.2,21.0,48.8,49.8,136.3,3.107788
loss,44.6,28.6,81.2,44.4,169.66,2.15462,72.0,15.6,94.4,54.6,155.58,3.74394
loss,21.6,16.8,204.8,45.8,109.42,1.1919000000000002,59.8,41.2,118.8,56.2,140.0,2.4342639999999998
loss,28.222,2.6,46.22,43.412,128.95999999999998,2.2439899999999997,63.0,40.8,86.6,48.8,148.82,2.28316
win,90.4,5.4,37.6,49.012,143.35999999999999,2.5026699999999997,52.422000000000004,29.8,153.42000000000002,51.212,122.88,2.36336
loss,48.8,50.8,140.4,50.2,134.94,2.2711259999999998,51.222,12.4,133.82,49.212,104.1,2.64208
loss,23.6,4.8,54.6,45.624,146.76,1.705716,62.0,40.0,102.6,46.8,147.66,2.5845599999999997
loss,36.2,28.6,107.4,47.8,152.62,2.10168,61.0,8.0,61.2,53.4,138.82,2.5181060000000004
loss,30.4,4.6,38.4,48.2,170.1,3.132282,59.0,18.0,191.6,47.0,138.92000000000002,2.7237
win,75.6,22.4,175.0,55.6,151.9,2.608334,31.8,44.0,116.8,49.6,152.9,2.0829
win,48.444,9.8,104.04,50.424,68.14000000000001,2.31556,40.222,8.6,127.82000000000001,50.612,99.96000000000001,2.05912
win,70.8,57.2,103.4,49.0,140.76,3.2013999999999996,44.6,38.8,123.8,51.8,152.94,2.45404
loss,24.8,6.8,47.0,32.4,99.50000000000001,1.29858,77.8,18.6,44.2,49.412,128.38,4.548640000000001
loss,24.8,11.4,160.4,52.4,84.12,1.4769200000000002,46.0,18.6,137.0,50.2,140.76000000000002,2.13908
win,70.22200000000001,8.4,84.22,49.024,108.88,5.234920000000001,55.022000000000006,33.2,214.82,50.212,108.46,2.1479
loss,49.2,14.0,94.2,47.2,130.87999999999997,2.418988,58.4,5.8,175.2,47.412,156.14000000000001,2.108224
loss,19.622,3.2,71.82000000000001,50.012,89.72,1.7564199999999999,49.422000000000004,18.0,144.22,49.212,96.7,2.34334
loss,44.0,35.6,186.0,51.6,186.82,4.879778,50.4,31.4,128.2,47.4,172.16,2.3724
win,61.6,34.6,93.2,55.8,145.64000000000001,2.5617799999999997,28.0,12.8,43.0,49.8,144.04,2.4600400000000002
loss,5.8,4.6,33.8,40.012,101.82000000000001,0.55982,65.6,21.8,80.6,46.0,119.01999999999998,2.6529599999999998
win,41.622,13.4,145.82,42.212,85.12,1.9877600000000002,29.6,24.0,62.8,36.6,146.1,2.2229
loss,35.0,12.2,70.0,47.6,124.08,2.61068,54.622,73.0,263.02,51.212,108.28,2.78912
loss,18.0,2.2,85.2,47.8,178.6,2.0026200000000003,58.0,4.6,61.4,54.812,187.74,2.6321640000000004
